serviceRequest,startTime,duration,status
web,20.824,0.014000,OK
web,20.852,0.014000,OK
web,20.880,0.014000,OK
web,20.908,0.014000,OK
web,20.936,0.014000,OK
web,20.964,0.014000,OK
web,20.992,0.014000,OK
web,21.020,0.014000,OK
web,21.048,0.014000,OK
web,21.076,0.014000,OK
web,21.104,0.014000,OK
web,21.132,0.014000,OK
web,21.160,0.014000,OK
web,21.188,0.014000,OK
web,21.216,0.014000,OK
web,21.244,0.014000,OK
web,21.272,0.014000,OK
web,21.300,0.014000,OK
web,21.328,0.014000,OK
web,21.356,0.014000,OK
web,21.384,0.014000,OK
web,21.412,0.014000,OK
web,21.440,0.014000,OK
web,21.468,0.014000,OK
web,21.496,0.014000,OK
web,21.524,0.014000,OK
web,21.552,0.014000,OK
web,21.580,0.014000,OK
web,21.608,0.014000,OK
web,21.636,0.014000,OK
web,21.664,0.014000,OK
web,21.692,0.014000,OK
web,21.720,0.014000,OK
web,21.748,0.014000,OK
web,21.776,0.014000,OK
web,21.804,0.014000,OK
web,21.832,0.014000,OK
web,21.860,0.014000,OK
web,21.888,0.014000,OK
web,21.916,0.014000,OK
web,21.944,0.014000,OK
web,21.972,0.014000,OK
web,22.000,0.014000,OK
web,22.028,0.014000,OK
web,22.056,0.014000,OK
web,22.084,0.014000,OK
web,22.112,0.014000,OK
web,22.140,0.014000,OK
web,22.168,0.014000,OK
web,22.196,0.014000,OK
web,22.224,0.014000,OK
web,22.252,0.014000,OK
web,22.280,0.014000,OK
web,22.308,0.014000,OK
web,22.336,0.014000,OK
web,22.364,0.014000,OK
web,22.392,0.014000,OK
web,22.420,0.014000,OK
web,22.448,0.014000,OK
web,22.476,0.014000,OK
web,22.504,0.014000,OK
web,22.532,0.014000,OK
web,22.560,0.014000,OK
web,22.588,0.014000,OK
web,22.616,0.014000,OK
web,22.644,0.014000,OK
web,22.672,0.014000,OK
web,22.700,0.014000,OK
web,22.728,0.014000,OK
web,22.756,0.014000,OK
web,22.784,0.014000,OK
web,22.812,0.014000,OK
web,22.840,0.014000,OK
web,22.868,0.014000,OK
web,22.896,0.014000,OK
web,22.924,0.014000,OK
web,22.952,0.014000,OK
web,22.980,0.014000,OK
web,23.008,0.014000,OK
web,23.036,0.014000,OK
web,23.064,0.014000,OK
web,23.092,0.014000,OK
web,23.120,0.014000,OK
web,23.148,0.014000,OK
web,23.176,0.014000,OK
web,23.204,0.014000,OK
web,23.232,0.014000,OK
web,23.260,0.014000,OK
